Population_density,Agricultural_Land,Land_Area,Armed_Forces_size,Birth_Rate,Co2_Emissions,CPI,CPI_Change,Fertility_Rate,Forested_Area,Gasoline_Price,GDP,GPEM,GTEE,Infant_mortality,Life_expectancy,Maternal_mortality_ratio,Minimum_wage,Out_of_pocket_health_expenditure,Physicians_per_thousand,Population,LFPR,Tax_revenue ,tax_rate,Unemployment_rate,Urban_population
60.00,0.58,"652,230.00","323,000.00",32.49,"8,672.00",149.90,0.02,4.47,0.02,0.70,"19,101,353,833.00",1.04,0.10,47.90,64.50,638.00,0.43,0.78,0.28,"38,041,754.00",0.49,0.09,0.71,0.11,"9,797,273.00"
105.00,0.43,"28,748.00","9,000.00",11.78,"4,536.00",119.05,0.01,1.62,0.28,1.36,"15,278,077,447.00",1.07,0.55,7.80,78.50,15.00,1.12,0.57,1.20,"2,854,191.00",0.56,0.19,0.37,0.12,"1,747,593.00"
18.00,0.17,"2,381,741.00","317,000.00",24.28,"150,006.00",151.36,0.02,3.02,0.01,0.28,"169,988,236,398.00",1.10,0.51,20.10,76.70,112.00,0.95,0.28,1.72,"43,053,054.00",0.41,0.37,0.66,0.12,"31,510,100.00"
164.00,0.40,468.00,,7.20,469.00,,,1.27,0.34,1.51,"3,154,057,987.00",1.06,,2.70,,,6.63,0.36,3.33,"77,142.00",,,,,"67,873.00"
26.00,0.48,"1,246,700.00","117,000.00",40.73,"34,693.00",261.73,0.17,5.52,0.46,0.97,"94,635,415,870.00",1.14,0.09,51.60,60.80,241.00,0.71,0.33,0.21,"31,825,295.00",0.78,0.09,0.49,0.07,"21,061,025.00"
223.00,0.21,443.00,0.00,15.33,557.00,113.81,0.01,1.99,0.22,0.99,"1,727,759,259.00",1.05,0.25,5.00,76.90,42.00,3.04,0.24,2.76,"97,118.00",,0.17,0.43,,"23,800.00"
17.00,0.54,"2,780,400.00","105,000.00",17.02,"201,348.00",232.75,0.54,2.26,0.10,1.10,"449,663,446,954.00",1.10,0.90,8.80,76.50,39.00,3.35,0.18,3.96,"44,938,712.00",0.61,0.10,1.06,0.10,"41,339,571.00"
104.00,0.59,"29,743.00","49,000.00",13.99,"5,156.00",129.18,0.01,1.76,0.12,0.77,"13,672,802,158.00",0.93,0.55,11.00,74.90,26.00,0.66,0.82,4.40,"2,957,731.00",0.56,0.21,0.23,0.17,"1,869,848.00"
3.00,0.48,"7,741,220.00","58,000.00",12.60,"375,908.00",119.80,0.02,1.74,0.16,0.93,"1,392,680,589,329.00",1.00,1.13,3.10,82.70,6.00,13.59,0.20,3.68,"25,766,605.00",0.66,0.23,0.47,0.05,"21,844,756.00"
109.00,0.32,"83,871.00","21,000.00",9.70,"61,448.00",118.06,0.02,1.47,0.47,1.20,"446,314,739,528.00",1.03,0.85,2.90,81.60,5.00,,0.18,5.17,"8,877,067.00",0.61,0.25,0.51,0.05,"5,194,416.00"
